dish_id,total_calories,total_mass,ingredient_names,image_path
dish_1563568338,631.706665,371.0,salt garlic olive oil kale onions wheat berry mushroom corn on the cob ground turkey chive cheese pizza carrot thyme celery cream white rice eggs,./data/images/dish_1563568338/rgb.png
dish_1563468299,210.350006,385.0,cottage cheese pineapple watermelon berries,./data/images/dish_1563468299/rgb.png
dish_1558027001,20.400002,68.0,deprecated,./data/images/dish_1558027001/rgb.png
dish_1565033265,1324.084961,625.0,olives mixed greens broccoli chicken vinaigrette olive oil,./data/images/dish_1565033265/rgb.png
dish_1563475921,244.343323,348.0,shallots garlic lemon juice onions spinach raw jalapenos pineapple cauliflower honeydew melons chili salt olive oil lime ginger brown rice cilantro salmon,./data/images/dish_1563475921/rgb.png
dish_1561665024,100.570984,121.0,lemon juice onions olive oil mixed greens parsley salt apple millet green beans vinegar,./data/images/dish_1561665024/rgb.png
dish_1563813308,224.982895,76.0,salt pepper brussels sprouts olive oil bacon,./data/images/dish_1563813308/rgb.png
dish_1561062555,47.093922,32.0,apple shallots salt bulgur olive oil cranberries lemon juice mustard greens parsley arugula garlic,./data/images/dish_1561062555/rgb.png
dish_1558723414,51.988998,49.0,corn on the cob,./data/images/dish_1558723414/rgb.png
dish_1562691674,376.976868,435.0,sweet potato olive oil broccoli egg whites yam greek yogurt chia seeds chicken apple sausage milk,./data/images/dish_1562691674/rgb.png
dish_1566591080,909.629578,549.0,pepper salmon chicken olives arugula brown rice chicken salad olive oil thyme carrot salt,./data/images/dish_1566591080/rgb.png
dish_1564082462,905.354492,609.0,soy sauce pesto cherry tomatoes brown rice chard spinach raw pork cheese caesar salad parsley white rice sugar garlic carrot salt pepper bok choy pasta olive oil basil rosemary lemon juice onions chive chicken,./data/images/dish_1564082462/rgb.png
dish_1562602860,165.182281,258.0,strawberries milk chia seeds greek yogurt watermelon,./data/images/dish_1562602860/rgb.png
dish_1561739954,276.119995,225.0,sweet potato scrambled eggs,./data/images/dish_1561739954/rgb.png
dish_1558638983,59.416,56.0,corn on the cob,./data/images/dish_1558638983/rgb.png
dish_1558631825,118.832001,112.0,corn on the cob,./data/images/dish_1558631825/rgb.png
dish_1563216440,403.786346,352.0,wheat berry olive oil spinach raw cherry tomatoes chicken breast white rice parmesan cheese garlic salt broccoli thyme,./data/images/dish_1563216440/rgb.png
dish_1559240908,60.16,128.0,orange,./data/images/dish_1559240908/rgb.png
dish_1563395480,370.521423,329.0,corn cheese garlic chili black beans spinach raw squash bell peppers onions olive oil sour cream lemon juice salt hominy cherry tomatoes pepper tortilla chips jalapenos parsley cabbage chicken thighs lime zucchini cheese pizza broccoli carrot tomatoes,./data/images/dish_1563395480/rgb.png
dish_1559235815,352.39502,268.0,cream cheese bagels strawberries eggs,./data/images/dish_1559235815/rgb.png
dish_1565640272,377.820007,405.0,bell peppers pepperoni pizza cherry tomatoes,./data/images/dish_1565640272/rgb.png
dish_1565022062,234.606583,366.0,olive oil egg whites berries sweet potato,./data/images/dish_1565022062/rgb.png
dish_1562960520,422.399261,303.0,pork pepper white rice garlic caesar salad roasted potatoes sugar salt soy sauce bok choy,./data/images/dish_1562960520/rgb.png
dish_1560441270,24.540001,46.0,bok choy potatoes,./data/images/dish_1560441270/rgb.png
dish_1561663855,179.138412,139.0,parsley lemon juice chive garlic millet apple brown rice corn on the cob vinegar onions olive oil rosemary basil salt chicken mixed greens carrot chard,./data/images/dish_1561663855/rgb.png
dish_1563389199,390.254456,284.0,broccoli garlic pepper arugula vinegar chard blueberries bulgur olive oil pecans mustard tofu salt carrot,./data/images/dish_1563389199/rgb.png
dish_1566488928,103.048294,147.0,cantaloupe sweet potato olive oil,./data/images/dish_1566488928/rgb.png
dish_1558723926,19.26,107.0,cherry tomatoes,./data/images/dish_1558723926/rgb.png
dish_1563392128,169.934235,162.0,garlic cilantro lemon juice onions olive oil salt arugula quinoa fish tomatillo pepper jalapenos,./data/images/dish_1563392128/rgb.png
dish_1563910171,571.183777,423.0,ginger chard salmon cilantro shallots lime lemon juice onions olive oil vinegar green beans brown rice spinach raw jalapenos cherry tomatoes garlic chili figs salt cucumbers mustard,./data/images/dish_1563910171/rgb.png
dish_1560368990,211.92131,119.0,shallots salt pumpkin seeds parsley olive oil brown rice vinegar pepper arugula white rice garlic carrot broccoli lettuce onions basil lemon juice mustard pork cherry tomatoes mixed greens,./data/images/dish_1560368990/rgb.png
dish_1562958563,130.839996,68.0,olives chicken salad,./data/images/dish_1562958563/rgb.png
dish_1561579617,130.172348,304.0,salt eggplant olive oil cauliflower roasted potatoes,./data/images/dish_1561579617/rgb.png
dish_1566333167,344.544495,140.0,vinegar beef bok choy spinach cooked shallots millet salt cheese pizza olive oil onions,./data/images/dish_1566333167/rgb.png
dish_1565033139,193.649994,274.0,mixed greens broccoli olives,./data/images/dish_1565033139/rgb.png
dish_1563464480,229.490005,213.0,bacon watermelon roasted potatoes berries,./data/images/dish_1563464480/rgb.png
dish_1567020054,122.001411,145.0,shallots garlic parsley salt kale brussels sprouts lemon juice olive oil wheat berry chive chard pepper fish cherry tomatoes,./data/images/dish_1567020054/rgb.png
dish_1568649387,163.858185,192.0,olive oil sweet potato broccoli berries yam,./data/images/dish_1568649387/rgb.png
dish_1565370004,570.884766,370.0,bacon olive oil scrambled eggs green beans,./data/images/dish_1565370004/rgb.png
dish_1566499633,161.386429,139.0,onions olive oil vinegar garlic salt sun dried tomatoes olives cucumbers spinach raw mustard,./data/images/dish_1566499633/rgb.png
dish_1558719336,24.25,97.0,cauliflower,./data/images/dish_1558719336/rgb.png
dish_1562602657,610.365173,236.0,pepper salt hash browns brussels sprouts sausage olive oil,./data/images/dish_1562602657/rgb.png
dish_1558116201,313.585999,91.0,sausage,./data/images/dish_1558116201/rgb.png
dish_1559668314,551.546021,300.0,scrambled eggs garden salad hash browns,./data/images/dish_1559668314/rgb.png
dish_1557861697,13.144,53.0,eggplant,./data/images/dish_1557861697/rgb.png
dish_1558721484,11.160001,62.0,cherry tomatoes,./data/images/dish_1558721484/rgb.png
dish_1565379251,32.936092,67.0,salt pepper olive oil carrot,./data/images/dish_1565379251/rgb.png
dish_1563306392,477.465118,288.0,chicken spinach raw wheat berry thyme olive oil lemon juice parsley salt garlic shallots,./data/images/dish_1563306392/rgb.png
dish_1559843335,25.410002,77.0,strawberries,./data/images/dish_1559843335/rgb.png
dish_1558549214,239.190002,361.0,white rice potatoes spinach raw cherry tomatoes grapes,./data/images/dish_1558549214/rgb.png
dish_1562775488,91.239998,145.0,egg whites sweet potato,./data/images/dish_1562775488/rgb.png
dish_1562787956,26.84,61.0,caesar salad,./data/images/dish_1562787956/rgb.png
dish_1562775212,92.480003,136.0,oatmeal,./data/images/dish_1562775212/rgb.png
dish_1559238435,115.544006,202.0,pears,./data/images/dish_1559238435/rgb.png
dish_1562008813,214.593262,225.0,pears quinoa shallots olive oil lemon juice mustard vinegar arugula garlic mixed greens goat cheese thyme pecans parsley chard blueberries olives cauliflower salt,./data/images/dish_1562008813/rgb.png
dish_1568061202,256.551605,334.0,salt pepper brussels sprouts olive oil squash pineapple cheese pizza,./data/images/dish_1568061202/rgb.png
dish_1560445069,94.527,243.0,grapefruit juice,./data/images/dish_1560445069/rgb.png
dish_1563900172,236.636597,255.0,scrambled eggs cantaloupe olive oil sweet potato,./data/images/dish_1563900172/rgb.png
dish_1562785132,211.542679,192.0,fish country rice onions olive oil garlic salt green onions,./data/images/dish_1562785132/rgb.png
dish_1565383097,479.248993,430.0,spinach raw cucumbers olives chicken parmesan cheese,./data/images/dish_1565383097/rgb.png
dish_1559233102,183.520004,124.0,scrambled eggs,./data/images/dish_1559233102/rgb.png
dish_1560357427,93.749001,241.0,grapefruit juice,./data/images/dish_1560357427/rgb.png
dish_1558031628,31.280001,92.0,cantaloupe,./data/images/dish_1558031628/rgb.png
dish_1558029148,38.880001,108.0,honeydew melons,./data/images/dish_1558029148/rgb.png
dish_1562959129,412.873596,293.0,fish garlic salt pizza onions pepper quinoa artichokes lemon juice olive oil arugula jalapenos tomatillo parsnips cilantro roasted potatoes,./data/images/dish_1562959129/rgb.png
dish_1558641075,12.42,69.0,cherry tomatoes,./data/images/dish_1558641075/rgb.png
dish_1560455158,69.12085,55.0,olive oil arugula vinegar carrot mixed greens mustard lettuce pumpkin seeds salt,./data/images/dish_1560455158/rgb.png
dish_1565972715,657.545837,510.0,cucumbers vinegar green beans scrambled eggs pepper lettuce chicken apple sausage cherry tomatoes lime mixed greens salt olive oil onions,./data/images/dish_1565972715/rgb.png
dish_1558724912,30.75,75.0,carrot,./data/images/dish_1558724912/rgb.png
dish_1563913675,282.693146,228.0,spinach raw vinegar chard cherry tomatoes cheese pizza figs salt caesar salad cucumbers olive oil mustard,./data/images/dish_1563913675/rgb.png
dish_1567542876,495.807739,260.0,white rice soy sauce onions orange juice kale lemon juice chili cilantro green onions cheese pizza broccoli beef pineapple chicken thighs vinegar olive oil garlic salt,./data/images/dish_1567542876/rgb.png
dish_1561753075,945.670715,668.0,garlic salmon chicken thighs onions olive oil chili caesar salad cilantro cheese pepper brown rice arugula squash thyme tortilla salt tomatoes,./data/images/dish_1561753075/rgb.png
dish_1559244305,113.066399,64.0,arugula pepper vinegar chickpeas salt parsley olive oil mustard greens,./data/images/dish_1559244305/rgb.png
dish_1561577573,755.432922,346.0,onions bok choy millet beef salt spinach cooked shallots olive oil pizza vinegar,./data/images/dish_1561577573/rgb.png
dish_1563550614,132.824387,205.0,sweet potato olive oil egg whites,./data/images/dish_1563550614/rgb.png
dish_1565204891,302.886444,314.0,olive oil onions brussels sprouts chicken thighs lemon juice salt garlic pineapple white rice cilantro pepper vinegar kale,./data/images/dish_1565204891/rgb.png
dish_1558115011,115.620003,20.0,almonds,./data/images/dish_1558115011/rgb.png
dish_1559675234,36.970001,120.0,carrot bell peppers cherry tomatoes brussels sprouts,./data/images/dish_1559675234/rgb.png
dish_1565638323,467.824677,274.0,salt garlic parsley onions zucchini rosemary olive oil arugula pork brown rice white rice,./data/images/dish_1565638323/rgb.png
dish_1561405836,82.429001,31.0,cheese pizza,./data/images/dish_1561405836/rgb.png
dish_1565898659,576.704529,537.0,cherry tomatoes tuna olives salmon spinach raw onions chili cilantro lime salt ginger brown rice jalapenos lemon juice olive oil carrot shallots garlic,./data/images/dish_1565898659/rgb.png
dish_1562169818,346.819672,275.0,olive oil vinaigrette pepper scrambled eggs granola mixed greens salt raspberries blackberries brussels sprouts,./data/images/dish_1562169818/rgb.png
dish_1559934679,160.845459,146.0,quinoa wine eggplant mushroom chicken thighs squash salt lemon juice shallots caesar salad spinach cooked garlic olive oil,./data/images/dish_1559934679/rgb.png
dish_1562698276,434.58316,307.0,spinach cooked shallots salt onions broccoli olive oil vinegar white rice beef millet bok choy,./data/images/dish_1562698276/rgb.png
dish_1558718051,24.25,97.0,cauliflower,./data/images/dish_1558718051/rgb.png
dish_1560368764,207.098907,270.0,olive oil mustard pumpkin seeds carrot mixed greens lettuce salt asparagus tofu arugula eggplant vinegar,./data/images/dish_1560368764/rgb.png
dish_1563563317,345.84198,252.0,olives grilled chicken cherry tomatoes carrot,./data/images/dish_1563563317/rgb.png
dish_1565895966,214.544357,287.0,bok choy salt onions kale olive oil vinegar shallots green beans chard beef spinach cooked millet,./data/images/dish_1565895966/rgb.png
dish_1566933226,245.449509,171.0,couscous garlic parsley basil lemon juice olive oil thyme salt chicken thighs brown rice radishes arugula vinegar,./data/images/dish_1566933226/rgb.png
dish_1558458737,41.599998,32.0,white rice,./data/images/dish_1558458737/rgb.png
dish_1561392593,354.044922,325.0,vinegar olive oil broccoli berries bell peppers radishes salt garlic scrambled eggs mustard cucumbers,./data/images/dish_1561392593/rgb.png
dish_1566416421,313.741882,367.0,wheat berry lemon juice green beans chard fish cherry tomatoes garlic roasted potatoes shallots chive salt parsley olive oil eggplant,./data/images/dish_1566416421/rgb.png
dish_1562009120,95.610138,146.0,brussels sprouts tofu salt pepper olive oil,./data/images/dish_1562009120/rgb.png
dish_1562872365,9.879999,76.0,bok choy,./data/images/dish_1562872365/rgb.png
dish_1563910137,131.283218,141.0,vinegar chard spinach raw cherry tomatoes green beans olive oil salt cucumbers figs mustard,./data/images/dish_1563910137/rgb.png
dish_1558721726,74.360001,143.0,apple,./data/images/dish_1558721726/rgb.png
dish_1566931586,379.380005,389.0,olives mixed greens chicken broccoli,./data/images/dish_1566931586/rgb.png
dish_1563908923,49.279999,112.0,caesar salad,./data/images/dish_1563908923/rgb.png
dish_1563552016,493.589081,174.0,syrup waffles,./data/images/dish_1563552016/rgb.png
dish_1562784307,158.518127,157.0,salt pizza olive oil eggplant corn on the cob,./data/images/dish_1562784307/rgb.png
dish_1564761388,54.599998,105.0,egg whites,./data/images/dish_1564761388/rgb.png
dish_1561576295,249.067139,232.0,onions cucumbers lettuce bell peppers roasted potatoes olives vinaigrette cherry tomatoes feta cheese,./data/images/dish_1561576295/rgb.png
dish_1562876618,114.336998,43.0,cheese pizza,./data/images/dish_1562876618/rgb.png
dish_1565640427,195.761993,42.0,brownies,./data/images/dish_1565640427/rgb.png
dish_1559841808,73.110001,96.0,grapes mandarin oranges cereal,./data/images/dish_1559841808/rgb.png
dish_1560788349,78.925995,134.0,yogurt,./data/images/dish_1560788349/rgb.png
dish_1566847431,101.240509,90.0,quinoa arugula olive oil thyme lemon juice parsley salt shallots garlic,./data/images/dish_1566847431/rgb.png
dish_1565726812,36.209755,65.0,broccoli olive oil,./data/images/dish_1565726812/rgb.png
dish_1561061687,508.347748,408.0,shallots garlic croutons jalapenos onions cranberries mustard greens kale lemon juice olive oil salt parsley salmon ginger spinach raw pepper parmesan cheese brown rice arugula cilantro lime caesar dressing brussels sprouts bulgur chili apple,./data/images/dish_1561061687/rgb.png
dish_1563996279,98.490021,278.0,salt carrot cauliflower olive oil pepper,./data/images/dish_1563996279/rgb.png
dish_1558115448,64.860001,94.0,grapes,./data/images/dish_1558115448/rgb.png
dish_1559843030,25.410002,77.0,strawberries,./data/images/dish_1559843030/rgb.png
dish_1564073860,492.309998,91.0,bacon,./data/images/dish_1564073860/rgb.png
dish_1561739973,295.369995,280.0,broccoli scrambled eggs sweet potato,./data/images/dish_1561739973/rgb.png
dish_1559240441,19.470001,59.0,strawberries,./data/images/dish_1559240441/rgb.png
dish_1565984434,319.892303,430.0,quinoa ground turkey onions celery kale olive oil thyme chive pepper white rice cauliflower cream mushroom eggs carrot salt garlic,./data/images/dish_1565984434/rgb.png
dish_1563811686,319.428375,331.0,scrambled eggs strawberries olive oil salt pepper sweet potato brussels sprouts,./data/images/dish_1563811686/rgb.png
dish_1561060925,93.914848,156.0,brussels sprouts salt tofu pepper olive oil,./data/images/dish_1561060925/rgb.png
dish_1561663817,95.495369,86.0,salt mixed greens olive oil lemon juice onions parsley corn on the cob vinegar millet apple,./data/images/dish_1561663817/rgb.png
dish_1566922978,124.32,84.0,scrambled eggs,./data/images/dish_1566922978/rgb.png
